,country,iso,region,score,rank,change,year,standard_deviation,range
0,New Zealand,NZL,AP,9.55,1,0,1995,,
1,Denmark,DNK,WE/EU,9.32,2,0,1995,,
2,Singapore,SGP,AP,9.26,3,0,1995,,
3,Finland,FIN,WE/EU,9.12,4,0,1995,,
4,Canada,CAN,AME,8.87,5,0,1995,,
5,Sweden,SWE,WE/EU,8.87,6,0,1995,,
6,Australia,AUS,AP,8.8,7,0,1995,,
7,Switzerland,CHE,WE/EU,8.76,8,0,1995,,
8,Netherlands,NLD,WE/EU,8.69,9,0,1995,,
9,Norway,NOR,WE/EU,8.61,10,0,1995,,
10,Ireland,IRL,WE/EU,8.57,11,0,1995,,
11,United Kingdom,GBR,WE/EU,8.57,12,0,1995,,
12,Germany,DEU,WE/EU,8.14,13,0,1995,,
13,Chile,CHL,AME,7.94,14,0,1995,,
14,United States of America,USA,AME,7.79,15,0,1995,,
15,Austria,AUT,WE/EU,7.13,16,0,1995,,
16,Hong Kong,HKG,AP,7.12,17,0,1995,,
17,France,FRA,WE/EU,7,18,0,1995,,
18,Belgium,BEL,WE/EU,6.85,19,0,1995,,
19,Japan,JPN,AP,6.72,20,0,1995,,
20,South Africa,ZAF,SSA,5.62,21,0,1995,,
21,Portugal,PRT,WE/EU,5.56,22,0,1995,,
22,Malaysia,MYS,AP,5.28,23,0,1995,,
23,Argentina,ARG,AME,5.24,24,0,1995,,
24,Taiwan,TWN,AP,5.08,25,0,1995,,
25,Spain,ESP,WE/EU,4.35,26,0,1995,,
26,"Korea, South",KOR,AP,4.29,27,0,1995,,
27,Hungary,HUN,WE/EU,4.12,28,0,1995,,
28,Turkey,TUR,ECA,4.1,29,0,1995,,
29,Greece,GRC,WE/EU,4.04,30,0,1995,,
30,Colombia,COL,AME,3.44,31,0,1995,,
31,Mexico,MEX,AME,3.18,32,0,1995,,
32,Italy,ITA,WE/EU,2.99,33,0,1995,,
33,Thailand,THA,AP,2.79,34,0,1995,,
34,India,IND,AP,2.78,35,0,1995,,
35,Philippines,PHL,AP,2.77,36,0,1995,,
36,Brazil,BRA,AME,2.7,37,0,1995,,
37,Venezuela,VEN,AME,2.66,38,0,1995,,
38,Pakistan,PAK,AP,2.25,39,0,1995,,
39,China,CHN,AP,2.16,40,0,1995,,
40,Indonesia,IDN,AP,1.94,41,0,1995,,
41,Argentina,ARG,AME,3.41,35,-11,1996,,
42,Australia,AUS,AP,8.6,10,-3,1996,,
43,Austria,AUT,WE/EU,7.59,16,0,1996,,
44,Bangladesh,BGD,AP,2.29,51,-50,1996,,
45,Belgium,BEL,WE/EU,6.84,20,-1,1996,,
46,Bolivia,BOL,AME,3.4,36,-35,1996,,
47,Brazil,BRA,AME,2.96,40,-3,1996,,
48,Cameroon,CMR,SSA,2.46,49,-48,1996,,
49,Canada,CAN,AME,8.96,5,0,1996,,
50,Chile,CHL,AME,6.8,21,-7,1996,,
51,China,CHN,AP,2.43,50,-10,1996,,
52,Colombia,COL,AME,2.73,42,-11,1996,,
53,Czech Republic,CZE,WE/EU,5.37,25,-24,1996,,
54,Denmark,DNK,WE/EU,9.33,2,0,1996,,
55,Ecuador,ECU,AME,3.19,39,-38,1996,,
56,Egypt,EGY,MENA,2.84,41,-40,1996,,
57,Finland,FIN,WE/EU,9.05,4,0,1996,,
58,France,FRA,WE/EU,6.96,19,-1,1996,,
59,Germany,DEU,WE/EU,8.27,13,0,1996,,
60,Greece,GRC,WE/EU,5.01,28,2,1996,,
61,Hong Kong,HKG,AP,7.01,18,-1,1996,,
62,Hungary,HUN,WE/EU,4.86,31,-3,1996,,
63,India,IND,AP,2.63,46,-11,1996,,
64,Indonesia,IDN,AP,2.65,45,-4,1996,,
65,Ireland,IRL,WE/EU,8.45,11,0,1996,,
66,Israel,ISR,MENA,7.71,14,-13,1996,,
67,Italy,ITA,WE/EU,3.42,34,-1,1996,,
68,Japan,JPN,AP,7.05,17,3,1996,,
69,Jordan,JOR,MENA,4.89,30,-29,1996,,
70,Kenya,KEN,SSA,2.21,52,-51,1996,,
71,"Korea, South",KOR,AP,5.02,27,0,1996,,
72,Malaysia,MYS,AP,5.32,26,-3,1996,,
73,Mexico,MEX,AME,3.3,38,-6,1996,,
74,Netherlands,NLD,WE/EU,8.71,9,0,1996,,
75,New Zealand,NZL,AP,9.43,1,0,1996,,
76,Nigeria,NGA,SSA,0.69,54,-53,1996,,
77,Norway,NOR,WE/EU,8.87,6,4,1996,,
78,Pakistan,PAK,AP,1,53,-14,1996,,
79,Philippines,PHL,AP,2.69,44,-8,1996,,
80,Poland,POL,WE/EU,5.57,24,-23,1996,,
81,Portugal,PRT,WE/EU,6.53,22,0,1996,,
82,Russia,RUS,ECA,2.58,47,-46,1996,,
83,Singapore,SGP,AP,8.8,7,-4,1996,,
84,South Africa,ZAF,SSA,5.68,23,-2,1996,,
85,Spain,ESP,WE/EU,4.31,32,-6,1996,,
86,Sweden,SWE,WE/EU,9.08,3,3,1996,,
87,Switzerland,CHE,WE/EU,8.76,8,0,1996,,
88,Taiwan,TWN,AP,4.98,29,-4,1996,,
89,Thailand,THA,AP,3.33,37,-3,1996,,
90,Turkey,TUR,ECA,3.54,33,-4,1996,,
91,Uganda,UGA,SSA,2.71,43,-42,1996,,
92,United Kingdom,GBR,WE/EU,8.44,12,0,1996,,
93,United States of America,USA,AME,7.66,15,0,1996,,
94,Venezuela,VEN,AME,2.5,48,-10,1996,,
95,Argentina,ARG,AME,2.81,42,-7,1997,,
96,Australia,AUS,AP,8.86,8,2,1997,,
97,Austria,AUT,WE/EU,7.61,17,-1,1997,,
98,Belgium,BEL,WE/EU,5.25,26,-6,1997,,
99,Bolivia,BOL,AME,2.05,51,-15,1997,,
100,Brazil,BRA,AME,3.56,36,4,1997,,
101,Canada,CAN,AME,9.1,5,0,1997,,
102,Chile,CHL,AME,6.05,23,-2,1997,,
103,China,CHN,AP,2.88,41,9,1997,,
104,Colombia,COL,AME,2.23,50,-8,1997,,
105,Costa Rica,CRI,AME,6.45,22,13,1997,,
106,Czech Republic,CZE,WE/EU,5.2,27,-2,1997,,
107,Denmark,DNK,WE/EU,9.94,1,1,1997,,
108,Finland,FIN,WE/EU,9.48,2,2,1997,,
109,France,FRA,WE/EU,6.66,20,-1,1997,,
110,Germany,DEU,WE/EU,8.23,13,0,1997,,
111,Greece,GRC,WE/EU,5.35,25,3,1997,,
112,Hong Kong,HKG,AP,7.28,18,0,1997,,
113,Hungary,HUN,WE/EU,5.18,28,3,1997,,
114,India,IND,AP,2.75,45,1,1997,,
115,Indonesia,IDN,AP,2.72,46,-1,1997,,
116,Ireland,IRL,WE/EU,8.28,12,-1,1997,,
117,Israel,ISR,MENA,7.97,15,-1,1997,,
118,Italy,ITA,WE/EU,5.03,30,4,1997,,
119,Japan,JPN,AP,6.57,21,-4,1997,,
120,"Korea, South",KOR,AP,4.29,34,-7,1997,,
